,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
i0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i1,17,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i2,3,25,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i3,0,10,46,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i4,0,2,23,56,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i5,0,0,4,43,85,368,0,0,0,0,0,0,0,0,0,0,0,0,0
i6,0,0,2,11,64,96,327,0,0,0,0,0,0,0,0,0,0,0,0
i7,0,0,0,4,19,68,127,282,0,0,0,0,0,0,0,0,0,0,0
i8,0,0,0,3,8,31,70,156,232,0,0,0,0,0,0,0,0,0,0
i9,0,0,0,0,6,16,38,100,150,190,0,0,0,0,0,0,0,0,0
i10,0,0,0,0,3,6,20,55,125,134,157,0,0,0,0,0,0,0,0
i11,0,0,0,0,0,2,6,28,80,132,132,120,0,0,0,0,0,0,0
i12,0,0,0,0,0,0,7,13,45,91,123,132,89,0,0,0,0,0,0
i13,0,0,0,0,0,0,6,9,30,59,91,135,105,65,0,0,0,0,0
i14,0,0,0,0,0,0,0,3,12,37,82,104,125,86,51,0,0,0,0
i15,0,0,0,0,0,0,0,1,9,16,46,80,102,116,94,36,0,0,0
i16,0,0,0,0,0,0,1,3,7,20,35,69,103,93,79,62,28,0,0
i17,0,0,0,0,0,0,0,2,5,10,26,39,68,96,89,101,44,20,0
i18,0,0,0,0,0,0,0,2,1,6,12,20,56,76,100,107,85,27,8
